#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	conn
#open	2018-12-12-15-18-56
#fields	ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	proto	service	duration	orig_bytes	resp_bytes	conn_state	local_orig	local_resp	missed_bytes	history	orig_pkts	orig_ip_bytes	resp_pkts	resp_ip_bytes	tunnel_parents
#types	time	string	addr	port	addr	port	enum	string	interval	count	count	string	bool	bool	count	string	count	count	count	count	set[string]
1544653141.399366	CaGMXy3bzpAoXTljCa	192.168.174.129	42400	23.111.9.35	443	tcp	ssl	0.743528	1021	95788	S1	-	-	0	ShADad	46	2881	70	98592	-
1544653142.269805	CyK38O3lzJeGl5Od29	192.168.174.129	37838	172.217.4.138	443	tcp	ssl	0.223944	726	5163	S1	-	-	0	ShADad	12	1226	14	5727	-
1544653142.503952	Ckb0MW1ZHInhJbCO2	192.168.174.129	45258	172.217.14.67	443	tcp	ssl	0.201596	301	3937	S1	-	-	0	ShADad	7	601	6	4181	-
1544653138.381234	CNTVzG4gjtfDodNsyl	192.168.174.129	52678	172.217.11.174	443	tcp	-	-	-	-	OTH	-	-	0	A	1	40	0	0	-
1544653141.435477	CHbo6i3UjqgkA8X366	192.168.174.129	38388	13.33.251.20	443	tcp	ssl	0.141896	694	20249	S1	-	-	0	ShADad	15	1314	19	21013	-
1544653121.230622	CjYs6k3mBjPRH3FiY9	192.168.174.129	56186	172.217.4.142	443	tcp	-	0.000212	1	0	OTH	-	-	0	Aa	1	40	1	40	-
1544653138.157437	CeyLKN1x01SJQYuKO	192.168.174.129	37878	172.217.5.193	443	tcp	-	-	-	-	OTH	-	-	0	A	1	40	0	0	-
1544653135.565379	Cwpx5f2IIE64oHyLQ8	192.168.174.129	56136	172.217.4.131	443	tcp	-	0.000201	1	0	OTH	-	-	0	Aa	1	40	1	40	-
1544653138.590429	CbCedh3G2TVBBF1qJf	192.168.174.129	39972	172.217.5.206	443	tcp	ssl	0.204579	1145	12553	S1	-	-	0	ShADad	17	1845	20	13357	-
1544653132.884716	CbELjXrBb1cEfVjZ5	192.168.174.129	60016	216.58.193.206	443	tcp	-	0.188784	402	71635	OTH	-	-	0	DadA	27	1482	47	73515	-
1544653141.965823	CYF6era6kYRvYUboi	192.168.174.129	34010	72.21.91.66	443	tcp	ssl	0.410860	1440	38845	S1	-	-	0	ShADad	27	2540	27	39929	-
1544653120.500112	Cfy4iR1N1mpyD2PLc3	192.168.174.129	41704	172.217.6.36	443	tcp	-	18.273787	12592	511595	OTH	-	-	0	DadA	207	20872	432	528875	-
1544653148.810106	CkBZjd2lBxZx5HbFc6	192.168.174.129	55962	192.168.202.44	22	tcp	ssh	2.100299	2968	5297	S1	-	-	0	ShADad	23	3908	27	6381	-
1544653127.373303	C1TJVTCMkMsdLMjt1	192.168.174.129	39172	216.58.216.33	443	tcp	-	0.000270	1	0	OTH	-	-	0	Aa	1	40	1	40	-
1544653127.378027	C5xoWr3aOFMuyEeRs7	192.168.174.129	36678	172.217.14.99	443	tcp	-	0.000114	1	0	OTH	-	-	0	Aa	1	40	1	40	-
1544653133.208589	CWdVhI3tJnuMK7cDwj	192.168.174.129	51614	172.217.11.78	443	tcp	-	5.525015	2600	8229	OTH	-	-	0	DadA	16	3240	19	8989	-
1544653142.154606	C12Xpe32fGdPkC9f5d	192.168.174.129	58284	31.13.70.7	443	tcp	ssl	0.443406	721	65306	S1	-	-	20480	ShADad	26	1781	29	66470	-
1544653139.661631	CqS1mm3aEbzVPe7LI7	192.168.174.129	35472	216.58.193.194	443	tcp	-	-	-	-	OTH	-	-	0	A	1	40	0	0	-
1544653141.458211	C9ahXv4RP2orMfRrM6	192.168.174.129	37522	52.84.216.187	443	tcp	ssl	0.159016	707	30015	S1	-	-	0	ShADad	18	1447	25	31019	-
1544653142.462508	CJanMF2kXWLTQBUMB2	192.168.174.129	38316	199.16.156.21	443	tcp	ssl	0.300089	861	4391	S1	-	-	0	ShADad	11	1321	12	4875	-
1544653141.582366	CluIVS3C66PT86Aae9	192.168.174.129	52530	13.33.251.60	443	tcp	ssl	1.523350	1823	112358	S1	-	-	0	ShADad	77	4923	96	116202	-
1544653121.747646	CpRNSX2XOTZN3b9Fq7	192.168.174.129	52670	172.217.11.174	443	tcp	-	30.760064	7818	5333	OTH	-	-	0	DadA	25	8818	29	6493	-
1544653127.900708	CqsQZ71kzSLVHIQpi	192.168.174.129	58294	172.217.14.110	443	tcp	-	11.138020	776	2354	OTH	-	-	0	DadA	15	1376	15	2954	-
1544653137.613740	CIWOgj2R5BT97i4xdf	192.168.174.129	41746	172.217.6.36	443	tcp	-	-	-	-	OTH	-	-	0	A	1	40	0	0	-
1544653138.590543	Cov0T4245Hxq6KQklf	192.168.174.129	44444	172.217.14.78	443	tcp	ssl	0.254647	1182	9386	S1	-	-	0	ShADad	17	1882	20	10190	-
1544653141.734447	CZzvt41ez0ime6CTe9	192.168.174.129	34862	13.33.251.49	443	tcp	ssl	0.098683	686	6206	S1	-	-	0	ShADad	11	1146	13	6730	-
1544653141.867135	CcuBsz4xtF9KK6rKh3	192.168.174.129	43882	104.19.197.151	443	tcp	ssl	0.151094	693	9172	S1	-	-	0	ShADad	12	1193	16	9816	-
1544653121.230764	Ck3Hna4K9PuXgknUw4	192.168.174.129	33906	172.217.4.164	443	tcp	-	0.000079	1	0	OTH	-	-	0	Aa	1	40	1	40	-
1544653141.423762	CZ6SwO2AVhlxZ3nom2	192.168.174.129	55802	13.33.251.21	443	tcp	ssl	0.324504	796	72250	S1	-	-	0	ShADad	34	2176	46	74094	-
1544653141.734544	C62TDt3371VmP2CQvb	192.168.174.129	52310	13.33.251.4	443	tcp	ssl	0.514729	1124	153056	S1	-	-	0	ShADad	66	3784	104	157220	-
1544653137.613657	CONykA39ENlo9CZc0i	192.168.174.129	39500	74.125.20.188	5228	tcp	-	0.000156	1	0	OTH	-	-	0	Aa	1	40	1	40	-
1544653142.227267	CgbhJq4ZtiJ9MwdKM	192.168.174.129	37686	52.37.223.85	443	tcp	ssl	0.206676	799	3870	S1	-	-	0	ShADad	8	1139	8	4194	-
1544653143.828254	C8fwNn3y8VycLbLSLg	192.168.174.1	59739	239.255.255.250	1900	udp	-	3.003427	696	0	S0	-	-	0	D	4	808	0	0	-
#close	2018-12-12-15-19-14
